id,name,last_name,gender,age,id_father,is_dead,was_king,is_king
1,John,Doe,H,60,0,0,1,0
2,William,Doe,H,40,1,0,0,1
3,Henry,Doe,H,38,1,0,0,0
4,Charles,Doe,H,18,2,0,0,0
5,Alice,Doe,M,16,2,0,0,0
6,Edward,Doe,H,35,3,0,0,0
7,Mary,Doe,M,33,3,0,0,0
8,James,Doe,H,15,4,0,0,0
9,Elizabeth,Doe,M,13,4,0,0,0
10,George,Doe,H,10,5,0,0,0
11,Margaret,Doe,M,8,5,0,0,0
12,Robert,Doe,H,5,6,0,0,0
13,Victoria,Doe,M,3,6,0,0,0
14,Albert,Doe,H,1,7,0,0,0
15,Sophia,Doe,M,0,7,0,0,0
16,Frederick,Doe,H,53,1,1,0,0
17,Louise,Doe,M,50,16,0,0,0
18,Ernest,Doe,H,48,16,0,0,0
19,Helena,Doe,M,45,17,0,0,0
20,Leopold,Doe,H,43,18,0,0,0
21,Beatrice,Doe,M,40,18,0,0,0
22,Alexander,Doe,H,38,19,0,0,0
23,Augusta,Doe,M,35,19,1,0,0
24,Christian,Doe,H,33,20,1,0,0
25,Alice,Doe,M,30,20,0,0,0
26,Alfred,Doe,H,28,21,1,0,0
27,Marie,Doe,M,25,21,0,0,0
28,Victoria,Doe,M,23,22,1,0,0
29,Edward,Doe,H,20,22,1,0,0
30,George,Doe,H,18,23,0,0,0
31,Charlotte,Doe,M,15,23,1,0,0
32,Henry,Doe,H,13,24,1,0,0
33,Louise,Doe,M,10,24,1,0,0
34,Arthur,Doe,H,8,25,1,0,0
35,Helena,Doe,M,5,25,1,0,0
36,Leopold,Doe,H,3,26,1,0,0
37,Beatrice,Doe,M,0,26,1,0,0
38,Alexander,Doe,H,55,27,1,0,0
39,Augusta,Doe,M,53,27,1,0,0
40,Christian,Doe,H,50,28,0,0,0
41,Alice,Doe,M,48,28,0,0,0
42,Alfred,Doe,H,45,29,1,0,0
43,Marie,Doe,M,43,29,1,0,0
44,Victoria,Doe,M,40,30,1,0,0
45,Edward,Doe,H,38,30,1,0,0
46,George,Doe,H,35,31,1,0,0
47,Charlotte,Doe,M,33,31,1,0,0
48,Henry,Doe,H,30,32,1,0,0
49,Louise,Doe,M,28,32,1,0,0
50,Arthur,Doe,H,25,33,1,0,0
